subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Community Organization,SW431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Action and Social Movements,SW432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development Psychology,SW433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Field Work Concept, Theory & Practice",SW434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Field Work III + Rural Camp,SW435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Generalist Social Work Practice,SW441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Work Administration,SW442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Theories of Social Work,SW443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Rural & Urban Community Dev.for SW,SW444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Field Work IV,SW445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Medical & Psychiatric in Social Work,SW451.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Areas of Social Work I,SW454.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Current Field Work V + Urban Camp,SW455.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Policy and Social Legislation,SW461.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Human Rights, Social Justice & Soc. Work",SW463.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Areas of Social Work II,SW464.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Work Research,SW471.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sociology for Social Work,SW473.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Field Work VII,SW475.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Communication for Social Work,SW481.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social work Practice in Nepal,SW482.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Con.  Field Work VIII and Internship,SW483,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Research Dissertation,SW484,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Communication Theories and Models,JMC422,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
History of Journalism,JMC423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Broadcasting,JMC424,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Profile, Event Coverage and Narration",JMC425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
News Reporting/Editiing,JMC431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Photo Journalism,JMC432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Media Ethics,JMC433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Lagnguage for Mass Media (Nepali),JMC434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Language for Mass Media ( English),JMC435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basics of New Media,JMC436,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Gender and Communication,JMC441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Broadcasting Journalism I (Radio),JMC442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Mass Media Research : Fundamentals,JMC443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Citizen Journalism and Social Media,JMC444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
House Journalism Publishing,JMC445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Broadcasting Journalism II (Television),JMC451,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Public Relations,JMC452,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Advertising Basics,JMC453,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Mass Media Research,JMC454,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Multimedia Publication,JMC455,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Media Laws and Rights,JMC461,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development Communication,JMC462,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Media Economics and Marketing,JMC463,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Creative Writing,JMC464,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Web Language Designing and Blogging,JMC465,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Specialization Reporting,JMC471,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Media System and Governance,JMC472,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Journalism in Nepali Context,JMC473,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Comparative Media,JMC474,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Internship (News Reporting/Editing),JMC475,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Media Organization and Management,JMC481,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Media, Society and Cultural",JMC482,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Interna. Comm. and Media Dependency,JMC483,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Dissertation,JMC484,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basic Computer Application ,COMP422,3,2,Babai Multiple Campus,BA in Mathematics,Bachelor
Calculus II,MATH423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Linear Algebra I,MATH424,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Problem in Calc II and Linear Algebra I,MATH425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Calculus III,MATH431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
C Programming,COMP432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Linear Algebra II,MATH433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Analytical Solid Geometry,MATH434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Prob in Lin. Alg.  II and Ana. Sol. Geo.,MATH435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Modern Algebra I,MATH441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Real Analysis I,MATH442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Statistical Methods in Economics II,DE432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Governance and Development,DE433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Political Economy,DE434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem.II,DE435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Nepalese Economy B,DE441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Economic Development,DE442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
International Economics,DE443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development Theory and Experience I,DE444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Mathematical Methods in Economics I,DE445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Environmental Economics,DE451.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development Economics,DE452.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Economics of Rural Nepal I,DE453.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Mathematical Methods in Economics II,DE455.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Introductory Econometrics,DE461.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Developing Development Project,DE462.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Economics of Rural Nepal II,DE463.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Science Research Methodology,DE464.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem.III,DE465.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Applied Econometrics,DE471.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Public Economics,DE472.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Micro-Finance in Economic Development,DE473.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development Practice in Nepal,DE474.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Pr. Workshop&Field.based Std.Cum Sem IV,DE475.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Society, State and Economy",DE481.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sustainable Development and the Environ.,DE482.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Enterpreneurship,DE483.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Research Work,DE484.,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basic Macroeconmics,RD461.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Education and Health for Development,RD464.,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Rural Economy of Nepal II,RD483.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Research Work,RD484.,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basis on R.D. Policies & Strategies,RD422,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basic Computer Applications,COMP424,3,2,Babai Multiple Campus,BA in Rural Development,Bachelor
Basic Microeconomics,RD423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Rural Workshop II,RD425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sustainable Rural Development,RD431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Economic Development,RD432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Fundamentals of Governance & Development,RD433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Highland ecosystem,RD434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Rural Workshop III,RD435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Demography-capitals-development,RD441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development and the Environment,RD442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Community Development & Planning,RD443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Rural Entrepreneurship,RD444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Rural Workshop IV,RD445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Social Research,SOC422,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Gender & Feminist Study,SOC423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Stratification & Differentiation,SOC424,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Perspectives on Change & Development,SOC425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Environment and Society,SOC431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sociological Theory II,SOC432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Economic History of Nepal,SOC433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Problems and Social Control,SOC434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Identity, Ethni. and Federal. in Nepal",SOC435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Nationalism and Nation Building,SOC441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Research Design and Sampling,SOC442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Modernism and Post Modernism,SOC443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Poverty and Social Exclusion,SOC444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Social Policy and Welfare State,SOC445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Development Practices in Nepal-I,SOC451,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sociological Theory III,SOC452,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sociology of Education,SOC453,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Survey Research and Techniques,SOC454,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Nepali Society,SOC455,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Medical Sociology,SOC461,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Community Development,SOC462,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Household, Livelihood & Change",SOC463,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sociology of Religion,SOC464,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Sociology of Tourism,SOC465,3,6,Babai Multiple Campus,Bachelor of Arts,Bachelor
Globalization and Transnationalism,SOC471,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Developmental Practices in Nepal II,SOC472,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basic Statistics for Socio. Research,SOC473,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Political Sociology,SOC474,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Urban Sociology,SOC475,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Basic Comp. Skills for Social Research,SOC481,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
"Seminar, Field Exposure & Presentation",SOC482,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Project Cycle,SOC483,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Mini Dissertation,SOC484,6,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
State and International Relations,IR422,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Political Sys. & International Relations,IR423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
International Organization,IR424,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Regional Study : India and China,IR425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Public International Law,IR431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Dimension of Human Security,IR432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Intro. to International Pol. Economy,IR433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Foundations of Population Education,POP414,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Principles of Demography,POP415,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Purbaadhunik Bhasha ra Sahitya,NEP414,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Aadhunik Nepali Katha,NEP415,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Fundamentals of Curriculum Planning,EPM414,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Educational Management and Organization,EPM415,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Language and Linguistics,ENG414,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Study Skills and Academic Writing,ENG415,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Compulsory Nepali,COM412,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Socio-Philosophical Found. of Education,EDU413,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Foundations of Health Education,HEP414,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Basic Human Anatomy and Physiology I,HEP415,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
English Language Proficiency I,COM411,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Prob in Calc & Two Dim Geo & Vec Analy,MATH415,3,1,Babai Multiple Campus,Bachelor of Arts,Bachelor
Communication and Mass Media,JMC415,3,1,Babai Multiple Campus,Bachelor of Arts,Bachelor
Calculus I,MATH413,3,1,Babai Multiple Campus,Bachelor of Arts,Bachelor
Two Dim. Geometry and Vector Analysis,MATH414,3,1,Babai Multiple Campus,Bachelor of Arts,Bachelor
Compulsory English II,C.ENG421,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
The Grammar of English,ENG422,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
History of English Literature,ENG423,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
English Drama,ENG424,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Fiction,ENG425,3,2,Babai Multiple Campus,Bachelor of Arts,Bachelor
Nepalese Short Fiction in English,ENG431,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
History of English Language,ENG432,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Literary Theory,ENG433,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Translation Studies,ENG434,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Literary Essay,ENG435,3,3,Babai Multiple Campus,Bachelor of Arts,Bachelor
Practical Criticism,ENG441,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Critical Thinking,ENG442,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Prose Writing,ENG443,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Nepali Literature in English Translation,ENG444,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
Critical Theory for Understand.Litera,ENG445,3,4,Babai Multiple Campus,Bachelor of Arts,Bachelor
The Study of Language,ENG454.,3,5,Babai Multiple Campus,Bachelor of Arts,Bachelor
Nepalese Fiction and Narratives,ENG471.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Teaching of English Language,ENG475.,3,7,Babai Multiple Campus,Bachelor of Arts,Bachelor
Author Specialization (Poetry and Pose),ENG481.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Tales by Nepalese Woman Authors,ENG482.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Folklore Studies,ENG483.,3,8,Babai Multiple Campus,Bachelor of Arts,Bachelor
Business Communication ,MGMT412,3,1,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Micro Economics,MGMT413,3,1,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Principles of  Management,MGMT411,3,1,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
Number Theories for Teachers,MATH415,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Calculus for Teachers,MATH414,3,1,Babai Multiple Campus,Bachelor of Education,Bachelor
Cost Accounting,MGMT414,3,1,Babai Multiple Campus,Bachelor of Business Studies,Bachelor
